"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет наличие и правильность содержания вопросов и ответов","626","Проверка FAQ","tests","Sat Jun 07 14:50:20 MSK 2025","passed","Sat Jun 07 14:50:20 MSK 2025","TestFaqOnMainPage","test_faq","",""
"","591","Проверка верхней кнопки перехода на страницу заказа","tests","Sat Jun 07 14:51:41 MSK 2025","passed","Sat Jun 07 14:51:41 MSK 2025","TestOrderPage","test_orders","",""
"Тест проверяет наличие и правильность содержания вопросов и ответов","612","Проверка FAQ","tests","Sat Jun 07 14:50:54 MSK 2025","passed","Sat Jun 07 14:50:54 MSK 2025","TestFaqOnMainPage","test_faq","",""
"Нужно проверить весь флоу позитивного сценария с двумя наборами данных.","3588","Заказа самоката","tests","Sat Jun 07 14:51:58 MSK 2025","passed","Sat Jun 07 14:52:02 MSK 2025","TestOrderPage","test_orders","",""
"Тест проверяет наличие и правильность содержания вопросов и ответов","634","Проверка FAQ","tests","Sat Jun 07 14:51:11 MSK 2025","passed","Sat Jun 07 14:51:12 MSK 2025","TestFaqOnMainPage","test_faq","",""
"Тест проверяет наличие и правильность содержания вопросов и ответов","635","Проверка FAQ","tests","Sat Jun 07 14:50:45 MSK 2025","passed","Sat Jun 07 14:50:46 MSK 2025","TestFaqOnMainPage","test_faq","",""
"","652","Проверка нижней кнопки перехода на страницу заказа","tests","Sat Jun 07 14:51:49 MSK 2025","passed","Sat Jun 07 14:51:50 MSK 2025","TestOrderPage","test_orders","",""
"Тест проверяет наличие и правильность содержания вопросов и ответов","652","Проверка FAQ","tests","Sat Jun 07 14:50:28 MSK 2025","passed","Sat Jun 07 14:50:29 MSK 2025","TestFaqOnMainPage","test_faq","",""
"Тест проверяет наличие и правильность содержания вопросов и ответов","607","Проверка FAQ","tests","Sat Jun 07 14:50:37 MSK 2025","passed","Sat Jun 07 14:50:38 MSK 2025","TestFaqOnMainPage","test_faq","",""
"Проверить: если нажать на логотип «Самоката», попадёшь на главную страницу «Самоката».","438","Проверка перехода по клику на лого самоката","tests","Sat Jun 07 14:51:21 MSK 2025","passed","Sat Jun 07 14:51:22 MSK 2025","TestLogoLinks","test_logo_links","",""
"Проверить: если нажать на логотип Яндекса, в новом окне через редирект откроется главная страница Дзена.","1460","Проверка перехода по клику на Ya лого","tests","Sat Jun 07 14:51:30 MSK 2025","passed","Sat Jun 07 14:51:31 MSK 2025","TestLogoLinks","test_logo_links","",""
"Тест проверяет наличие и правильность содержания вопросов и ответов","615","Проверка FAQ","tests","Sat Jun 07 14:51:02 MSK 2025","passed","Sat Jun 07 14:51:03 MSK 2025","TestFaqOnMainPage","test_faq","",""
"Тест проверяет наличие и правильность содержания вопросов и ответов","1046","Проверка FAQ","tests","Sat Jun 07 14:50:10 MSK 2025","passed","Sat Jun 07 14:50:11 MSK 2025","TestFaqOnMainPage","test_faq","",""
